filing,field,key,expected,actual,verdict,error_magnitude,precision,recall,hallucinated_count,missed_count,notes
ADBE_2025,capex,,179.0,{'capital_expenditures_usd_millions': 179},CORRECT,0.0,,,,,
ADBE_2025,buybacks,,11281.0,11281,CORRECT,0.0,,,,,
ADBE_2025,lease_and_offbs_obligations,operating_lease_liability,438.0,485,WRONG,0.10730593607305935,,,,,
ADBE_2025,lease_and_offbs_obligations,purchase_obligations,6820.0,6821,CORRECT,0.0001466275659824047,,,,,
ADBE_2025,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
ADBE_2025,named_operational_metrics,annual_recurring_revenue,25200.0,25.2,WRONG,-0.999,,,,,
ADBE_2025,named_operational_metrics,gross_margin_subscription,91.15,,MISSED,,,,,,
ADBE_2025,named_operational_metrics,remaining_performance_obligations,22520.0,22.52,WRONG,-0.999,,,,,
CRM_2026,capex,,594.0,{'value': 594},CORRECT,0.0,,,,,
CRM_2026,buybacks,,12596.0,{'share_repurchases_usd_millions': 12596},CORRECT,0.0,,,,,
CRM_2026,lease_and_offbs_obligations,operating_lease_liability,2737.0,2737,CORRECT,0.0,,,,,
CRM_2026,lease_and_offbs_obligations,purchase_obligations,16700.0,16700,CORRECT,0.0,,,,,
CRM_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
CRM_2026,named_operational_metrics,annual_recurring_revenue,,,CORRECT,,,,,,
CRM_2026,named_operational_metrics,gross_margin_subscription,82.74,,MISSED,,,,,,
CRM_2026,named_operational_metrics,remaining_performance_obligations,72400.0,72.4,WRONG,-0.9990000000000001,,,,,
MSFT_2026,capex,,115948.0,{'capital_expenditures_usd_millions': 115948},CORRECT,0.0,,,,,
MSFT_2026,buybacks,,22271.0,{'value': 16719},WRONG,-0.2492928022989538,,,,,
MSFT_2026,lease_and_offbs_obligations,operating_lease_liability,21925.0,21925,CORRECT,0.0,,,,,
MSFT_2026,lease_and_offbs_obligations,purchase_obligations,194060.0,194060,CORRECT,0.0,,,,,
MSFT_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
MSFT_2026,named_operational_metrics,annual_recurring_revenue,,,CORRECT,,,,,,
MSFT_2026,named_operational_metrics,gross_margin_subscription,,,CORRECT,,,,,,
MSFT_2026,named_operational_metrics,remaining_performance_obligations,678000.0,684000,CORRECT,0.008849557522123894,,,,,
NOW_2026,capex,,868.0,{'value': 868},CORRECT,0.0,,,,,
NOW_2026,buybacks,,1840.0,{'share_repurchases_usd_millions': 1840},CORRECT,0.0,,,,,
NOW_2026,lease_and_offbs_obligations,operating_lease_liability,912.0,912,CORRECT,0.0,,,,,
NOW_2026,lease_and_offbs_obligations,purchase_obligations,7946.0,7946,CORRECT,0.0,,,,,
NOW_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
NOW_2026,named_operational_metrics,annual_recurring_revenue,,,CORRECT,,,,,,
NOW_2026,named_operational_metrics,gross_margin_subscription,80.0,80,CORRECT,0.0,,,,,
NOW_2026,named_operational_metrics,remaining_performance_obligations,28200.0,28.2,WRONG,-0.999,,,,,
TEAM_2026,capex,,34.0,{'capital_expenditures_usd_millions': 34.06},CORRECT,0.001764705882353008,,,,,
TEAM_2026,buybacks,,1800.0,{'value': 1809.685},CORRECT,0.005380555555555526,,,,,
TEAM_2026,lease_and_offbs_obligations,operating_lease_liability,243.35,243.35,CORRECT,0.0,,,,,
TEAM_2026,lease_and_offbs_obligations,purchase_obligations,4695.0,3735.049,WRONG,-0.20446240681576144,,,,,
TEAM_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
TEAM_2026,named_operational_metrics,annual_recurring_revenue,6606.0,6606,CORRECT,0.0,,,,,
TEAM_2026,named_operational_metrics,gross_margin_subscription,,,CORRECT,,,,,,
TEAM_2026,named_operational_metrics,remaining_performance_obligations,4800.0,4800,CORRECT,0.0,,,,,
WDAY_2026,capex,,162.0,{'capital_expenditures_usd_millions': 162},CORRECT,0.0,,,,,
WDAY_2026,buybacks,,2895.0,{'share_repurchases_usd_millions': 2895},CORRECT,0.0,,,,,
WDAY_2026,lease_and_offbs_obligations,operating_lease_liability,834.0,834,CORRECT,0.0,,,,,
WDAY_2026,lease_and_offbs_obligations,purchase_obligations,1566.0,510,WRONG,-0.6743295019157088,,,,,
WDAY_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
WDAY_2026,named_operational_metrics,annual_recurring_revenue,,,CORRECT,,,,,,
WDAY_2026,named_operational_metrics,gross_margin_subscription,82.66,,MISSED,,,,,,
WDAY_2026,named_operational_metrics,remaining_performance_obligations,28100.0,28101,CORRECT,3.558718861209964e-05,,,,,
